route,point,territory,house,route_id
119,Bhairab,Bhairab,"J R Corporation Limited, Bhairab",856
119,Kishoreganj (SYL),Kishoreganj,M. Islam Trade Co. Ltd.,857
119,Narsingdi-1,Narsingdi 1,"J R Corporation Limited, Narsingdi",858
119,Sunamganj,Sunamganj,Moula Baksh Karim Boksh,859
119,Akhalia,Sylhet Metro 2,Moula Baksh Karim Boksh Ltd.,860
119,Jashore Sadar,Jashore-1,M/S Azizur Rahman,861
119,Satkhira Sadar,Satkhira,M/S Sheikh Brothers,862
119,Chuadanga,Chuadanga,Desh Trade Link,863
119,Jhenaidah,Jhenaidah,Sanaullah Traders,864
119,Kushtia,Kushtia,Joarder Traders,865
119,Barishal,Barishal-1,M/S BARISHAL J AHMED & CO.,866
119,Bhola,Bhola,A. Rahman & Sons,867
119,Faridpur (KHU),Faridpur,AKHTER ENTERPRISE,868
119,Gopalganj,Madaripur,Kazi Sayed Ali,869
119,Madaripur,Madaripur,M/S Tarik Ahmed Dipu (Madaripur),870
119,Rajbari,Rajbari,M/S Tarik Ahmed Dipu (Rajbari),871
119,Tarash,Bogura-2,Mr Brothers,872
119,Gaibandha,Gaibandha,M/S. Spectrum Trading Corporation,873
119,Thakurgaon,Thakurgaon,Moulovi Brothers,874
12,Gulshan,Gulshan,"Agrani Trading Corporation, Gulshan",875
12,Mirpur-1,Mirpur,"Agrani Trading Corporation, Mirpur",876
12,Mogbazar,Mogbazar,"Agrani Trading Corporation, Mogbazar",877
12,Matuail,Matuail,"Agrani Trading Corporation, Mogbazar",878
12,Motijheel,Motijheel,"Agrani Trading Corporation, Mogbazar",879
12,Narayanganj,Narayanganj,The Jamal & Co - Narayanganj,880
12,Savar,Savar,"Agrani Trading Company Ltd, Savar",881
12,Board Bazar,Tongi,Azahar Trading Ltd.,882
12,EPZ,CTG Port,Zawad Enterprise,883
12,Fouzderhat,Sitakunda,Arafa Store,884
12,Dewanhat,Kotwali (CTG),MAQ Distribution,885
12,Chandpur,Chandpur,"M/S. Abdul Latif Chowdhury, Chandpur",886
12,Cumilla-1,Cumilla-1,M/S Rupali Traders,887
12,Homna,Daudkandi,Abdul Latif Chowdhury,888
12,Feni,Feni-1,Rokeya & Sons,889
12,Laksham,Laksam,M/S. Momin Store,890
12,Bogura,Bogura-1,Mr Brothers,891
12,Ishwardi,Ishwardi,Daffodils,892
12,Pabna,Pabna,Sales Connect Limited,893
12,Dinajpur,Dinajpur,Moulovi Brothers,894
